device_type,source_mib_object,source_mib,bin_window,raw_unit,nsp_metric_name,nsp_unit,aggregation,polling_note
dsl-modem,hdsl2Shdsl1DayIntervalCRCanomalies,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 1-day (7 bins, ~1wk rolling)",count,dslLine.crcanomalies,count,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl1DayIntervalLOSWS,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 1-day (7 bins, ~1wk rolling)",count,dslLine.losws,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl1DayIntervalUAS,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 1-day (7 bins, ~1wk rolling)",count,dslLine.uas,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,efmCuPmeTCCodingErrors,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.meTCCodingErrors,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,efmCuPmeTCCrcErrors,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.meTCCrcErrors,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,efmCuPme10PFECCorrectedBlocks,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.me10PFECCorrectedBlocks,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,efmCuPme10PFECUncorrectedBlocks,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.me10PFECUncorrectedBlocks,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,efmCuPAFInErrors,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.aFInErrors,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,efmCuPAFInLostFragments,"EFM-CU-MIB (RFC-derived, EFM copper)",cumulative counter (no interval binning -- poll and delta),count,efmCu.aFInLostFragments,count,"delta between polls (plain Counter32/Unsigned32, not an interval-binned PM object like the HDSL2-SHDSL set)","No on-device history window here -- unlike the HDSL2-SHDSL interval tables, these are running counters. NSP-side archival/delta computation is needed if trending is wanted; miss a poll and the delta is just larger next time (32-bit rollover is the real risk on a busy line)."
dsl-modem,flFlrELineCurr1DayFLIngress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",count,evc.cfm.fLIngress,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr1DayFLEgress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",count,evc.cfm.fLEgress,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr1DayFLRIngress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",ratio (see notes),evc.cfm.fLRIngress,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr1DayFLREgress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",ratio (see notes),evc.cfm.fLREgress,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr1DayFL,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",count,evc.cfm.fL,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr1DayFLR,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",ratio (see notes),evc.cfm.fLR,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr1DayFLFEND,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",count,evc.cfm.fLFEND,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr1DayFLRFEND,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",ratio (see notes),evc.cfm.fLRFEND,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,fdFdvELANCurr1DayFD,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",raw (unit not stated in SYNTAX -- see notes),evc.cfm.fD,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,fdFdvELANCurr1DayFDV,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 1-day, CFM/MEF",raw (unit not stated in SYNTAX -- see notes),evc.cfm.fDV,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr15minFLIngress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",count,evc.cfm.fLIngress,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr15minFLEgress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",count,evc.cfm.fLEgress,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr15minFLRIngress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",ratio (see notes),evc.cfm.fLRIngress,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELineCurr15minFLREgress,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",ratio (see notes),evc.cfm.fLREgress,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr15minFL,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",count,evc.cfm.fL,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr15minFLR,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",ratio (see notes),evc.cfm.fLR,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr15minFLFEND,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",count,evc.cfm.fLFEND,count,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,flFlrELANCurr15minFLRFEND,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",ratio (see notes),evc.cfm.fLRFEND,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,fdFdvELANCurr15minFD,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",raw (unit not stated in SYNTAX -- see notes),evc.cfm.fD,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,fdFdvELANCurr15minFDV,ACTELIS-SERV-MON-MIB (CFM/802.1ag + MEF10.2 EVC-level PM),"current (partial) 15-min, CFM/MEF",raw (unit not stated in SYNTAX -- see notes),evc.cfm.fDV,unconfirmed,"per-interval snapshot, per MEP/RMEP (indexed by dot1agCfmMdIndex/MaIndex/MepIdentifier + RMEP index)",Only ONE current + ONE previous interval retained per window size (not a 96-bin rolling history like HDSL2-SHDSL) -- the Communicator must poll faster than the interval length (15min/1day) or a completed interval's Prev* twin gets overwritten before it's ever read. FLR/FD/FDV units aren't stated in the object's SNMP SYNTAX (plain Unsigned32) -- confirm scale against a live value (no lab modem available to do that yet).
dsl-modem,mefCurr1DayServiceAvailability,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 1-day, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.serviceAvailability,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr1DayOnewayFLRPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 1-day, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayFLRPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr1DayOnewayFDPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 1-day, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayFDPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr1DayOnewayIFDVPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 1-day, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayIFDVPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr15MinServiceAvailability,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 15-min, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.serviceAvailability,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr15MinOnewayFLRPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 15-min, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayFLRPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr15MinOnewayFDPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 15-min, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayFDPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
dsl-modem,mefCurr15MinOnewayIFDVPerformance,ACTELIS-SERV-MON-MIB (MEF10.2 percentile performance),"current (partial) 15-min, MEF10.2","Unsigned32, scale/unit not stated in SYNTAX",evc.mef.onewayIFDVPerformance,"unconfirmed -- percentile/percent is likely given the object's own name, but not stated in its SNMP SYNTAX","per-interval percentile summary, per MEP","Same one-current/one-previous retention caveat as the raw FL/FD counters above. This is the MEF10.2-standard summary metric set -- likely the most directly EMS-comparable PM data on the modem side, pending unit confirmation."
